"messageID","senderID","receiverID","messageStatus","dateTime","content"
"1000","SzilardSandor703","JaneBennett_251","Sent","02/02/2026 12:09","hello jane"
"1001","SarahSendra-678","JaneBennett_251","Sent","09/02/2026 16:43","Hello how are you?"
"1002","1","SzilardSandor703","Sent","10/02/2026 16:50","gooodbye szilard g"
"1003","SzilardSandor703","1","Sent","10/02/2026 16:51","Responding:
good morning, brutha"
"1004","1","SarahSmith.217","Sent","12/02/2026 14:31","12"
"1005","1","JamesSanram_483","Sent","12/02/2026 14:31","12"
"1006","CalebBen-Ramsey-170","JaneBennett_251","Sent","12/02/2026 14:31","12"
"1007","1","SpartaHenry2","Sent","12/02/2026 15:06","1"
"1008","1","SarahSmith.217","Sent","12/02/2026 15:07","1r"
"1009","1","JaneBennett_251","Sent","12/02/2026 15:07","dwq"
"1010","1","SzilardSandor703","Sent","12/02/2026 15:07","Responding:
drvfd"
"1011","1","SzilardSandor703","Sent","12/02/2026 15:07","Responding:ddqw"
"1012","1","CalebBen-Ramsey-170","Sent","12/02/2026 15:10","I'm taking Max place tonight, he has to leave afternoon for a driving test"
